[ENSEMBLES]
∈ | Appartenance | Appartient à
∉ | Non-appartenance | N'appartient pas à
∅ | Ensemble vide | Indique qu'un ensemble ne contient aucun élément
⊆ | Inclusion | Sous-ensemble de
⊂ | Inclusion stricte | Strictement sous-ensemble de
⊇ | Contient | Contient comme sous-ensemble
⊃ | Contient strictement | Strictement contient comme sous-ensemble
∪ | Union | Réunion de deux ensembles
∩ | Intersection | Intersection de deux ensembles
℘ | Ensemble des parties | Ensemble des sous-ensembles
|A| | Cardinal | Nombre d'éléments dans A
Aᶜ | Complément | Ensemble des éléments non inclus dans A

[INÉQUATIONS]
= | Égalité | Égale à
≠ | Différence | Différent de
< | Inférieur | Inférieur à
> | Supérieur | Supérieur à
≤ | Inférieur ou égal | Inférieur ou égal à
≥ | Supérieur ou égal | Supérieur ou égal à
∝ | Proportionnel | Proportionnel à
∞ | Infini | Infini
± | Plus ou moins | Plus ou moins
≪ | Bien plus petit | Beaucoup plus petit que
≫ | Bien plus grand | Beaucoup plus grand que

[ARITHMÉTIQUE ET ALGÈBRE]
+ | Addition | Addition de nombres
- | Soustraction | Soustraction de nombres
× | Multiplication | Produit de nombres
÷ | Division | Division de nombres
√ | Racine carrée | Racine carrée
∛ | Racine cubique | Racine cubique
∜ | Racine quatrième | Racine quatrième
∑ | Somme | Somme d'une série
∏ | Produit | Produit d'une série
! | Factorielle | Produit de tous les entiers positifs jusqu'à n

[GÉOMÉTRIE ET TRIGONOMÉTRIE]
∠ | Angle | Mesure d'un angle
π | Pi | Constante 3.14159...
sin | Sinus | Fonction sinus
cos | Cosinus | Fonction cosinus
tan | Tangente | Fonction tangente
∥ | Parallèle | Lignes parallèles
⊥ | Perpendiculaire | Lignes perpendiculaires

[LOGIQUE]
¬ | Négation | Négation logique
∧ | Conjonction | Opération ET logique
∨ | Disjonction | Opération OU logique
⇒ | Implication | Si... alors...
⇔ | Équivalence | Équivaut à
∀ | Quantificateur universel | Pour tout
∃ | Quantificateur existentiel | Il existe
